5.9642 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
18.4609 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
22.0112 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001C258C6B0D0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001C259B8FC70>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
22.0114 	EXP 	window1: mouseVisible = True
22.0116 	EXP 	window1: mouseVisible = False
22.0117 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
22.0117 	EXP 	window1: recordFrameIntervals = False
22.1772 	EXP 	window1: recordFrameIntervals = True
22.3607 	EXP 	Screen (0) actual frame rate measured at 60.05Hz
22.3608 	EXP 	window1: recordFrameIntervals = False
26.1877 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
26.2181 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.3, 0.3, 0.3]), colorSpace='rgb', contrast=0.3, depth=-1.0, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.2, 0.2]), tex='sin', texRes=128.0, units='height', win=Window(...))
26.2232 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
26.2244 	EXP 	New trial (rep=0, index=0): None
26.2427 	EXP 	grating: ori = 3.0
26.2427 	EXP 	fixation: autoDraw = True
27.2800 	EXP 	grating: autoDraw = True
27.2800 	EXP 	grating: tex = 'sin'
27.2851 	EXP 	fixation: autoDraw = False
27.5923 	EXP 	grating: autoDraw = False
28.4164 	EXP 	New trial (rep=1, index=0): None
28.4197 	DATA 	Keypress: up
28.4256 	EXP 	fixation: autoDraw = False
28.4256 	EXP 	grating: autoDraw = False
28.4256 	EXP 	grating: ori = 0.0
28.4256 	EXP 	fixation: autoDraw = True
29.4258 	EXP 	fixation: autoDraw = False
29.4258 	EXP 	grating: autoDraw = True
29.7251 	EXP 	grating: autoDraw = False
30.0128 	EXP 	New trial (rep=2, index=0): None
30.0144 	DATA 	Keypress: up
30.0250 	EXP 	fixation: autoDraw = False
30.0250 	EXP 	grating: autoDraw = False
30.0250 	EXP 	grating: ori = 0.0
30.0250 	EXP 	fixation: autoDraw = True
31.0255 	EXP 	fixation: autoDraw = False
31.0255 	EXP 	grating: autoDraw = True
31.3248 	EXP 	grating: autoDraw = False
31.5311 	EXP 	New trial (rep=3, index=0): None
31.5331 	DATA 	Keypress: up
31.5415 	EXP 	fixation: autoDraw = False
31.5415 	EXP 	grating: autoDraw = False
31.5415 	EXP 	grating: ori = -4.0
31.5415 	EXP 	fixation: autoDraw = True
32.5414 	EXP 	fixation: autoDraw = False
32.5414 	EXP 	grating: autoDraw = True
32.8412 	EXP 	grating: autoDraw = False
33.2803 	EXP 	New trial (rep=4, index=0): None
33.2822 	DATA 	Keypress: down
33.2912 	EXP 	fixation: autoDraw = False
33.2912 	EXP 	grating: autoDraw = False
33.2912 	EXP 	grating: ori = 0.0
33.2912 	EXP 	fixation: autoDraw = True
34.2910 	EXP 	fixation: autoDraw = False
34.2910 	EXP 	grating: autoDraw = True
34.5906 	EXP 	grating: autoDraw = False
35.1782 	EXP 	New trial (rep=5, index=0): None
35.1798 	DATA 	Keypress: up
35.1905 	EXP 	fixation: autoDraw = False
35.1905 	EXP 	grating: autoDraw = False
35.1905 	EXP 	grating: ori = 4.0
35.1905 	EXP 	fixation: autoDraw = True
36.1904 	EXP 	fixation: autoDraw = False
36.1904 	EXP 	grating: autoDraw = True
36.4902 	EXP 	grating: autoDraw = False
36.6462 	EXP 	New trial (rep=6, index=0): None
36.6484 	DATA 	Keypress: down
36.6569 	EXP 	fixation: autoDraw = False
36.6569 	EXP 	grating: autoDraw = False
36.6569 	EXP 	grating: ori = 1.0
36.6569 	EXP 	fixation: autoDraw = True
37.6569 	EXP 	fixation: autoDraw = False
37.6569 	EXP 	grating: autoDraw = True
37.9569 	EXP 	grating: autoDraw = False
38.4122 	EXP 	New trial (rep=7, index=0): None
38.4145 	DATA 	Keypress: up
38.4230 	EXP 	fixation: autoDraw = False
38.4230 	EXP 	grating: autoDraw = False
38.4230 	EXP 	grating: ori = 4.0
38.4230 	EXP 	fixation: autoDraw = True
39.4230 	EXP 	fixation: autoDraw = False
39.4230 	EXP 	grating: autoDraw = True
39.7227 	EXP 	grating: autoDraw = False
40.3117 	EXP 	New trial (rep=8, index=0): None
40.3137 	DATA 	Keypress: down
40.3228 	EXP 	fixation: autoDraw = False
40.3228 	EXP 	grating: autoDraw = False
40.3228 	EXP 	grating: ori = 0.0
40.3228 	EXP 	fixation: autoDraw = True
